"N","Time","avg(BAP)","avg(DOC)","avg(EPS)","avg(NH4)","avg(NO3)","avg(O2)","avg(POCr)","avg(U (0))","avg(U (1))","avg(U (2))","avg(U (Magnitude))","avg(X)","avg(XAR)","avg(XARp)","avg(XDN)","avg(XDNp)","avg(XI)","avg(XN)","avg(XNp)","avg(Y)","avg(Z)","avg(h)","avg(hydraulicCond)","avg(katt)","avg(kdet)","avg(n)","avg(perm)","avg(rDN)","avg(rH)","avg(rN)","avg(vtkOriginalPointIds)","max(BAP)","max(DOC)","max(EPS)","max(NH4)","max(NO3)","max(O2)","max(POCr)","max(U (0))","max(U (1))","max(U (2))","max(U (Magnitude))","max(X)","max(XAR)","max(XARp)","max(XDN)","max(XDNp)","max(XI)","max(XN)","max(XNp)","max(Y)","max(Z)","max(h)","max(hydraulicCond)","max(katt)","max(kdet)","max(n)","max(perm)","max(rDN)","max(rH)","max(rN)","max(vtkOriginalPointIds)","med(BAP)","med(DOC)","med(EPS)","med(NH4)","med(NO3)","med(O2)","med(POCr)","med(U (0))","med(U (1))","med(U (2))","med(U (Magnitude))","med(X)","med(XAR)","med(XARp)","med(XDN)","med(XDNp)","med(XI)","med(XN)","med(XNp)","med(Y)","med(Z)","med(h)","med(hydraulicCond)","med(katt)","med(kdet)","med(n)","med(perm)","med(rDN)","med(rH)","med(rN)","med(vtkOriginalPointIds)","min(BAP)","min(DOC)","min(EPS)","min(NH4)","min(NO3)","min(O2)","min(POCr)","min(U (0))","min(U (1))","min(U (2))","min(U (Magnitude))","min(X)","min(XAR)","min(XARp)","min(XDN)","min(XDNp)","min(XI)","min(XN)","min(XNp)","min(Y)","min(Z)","min(h)","min(hydraulicCond)","min(katt)","min(kdet)","min(n)","min(perm)","min(rDN)","min(rH)","min(rN)","min(vtkOriginalPointIds)","q1(BAP)","q1(DOC)","q1(EPS)","q1(NH4)","q1(NO3)","q1(O2)","q1(POCr)","q1(U (0))","q1(U (1))","q1(U (2))","q1(U (Magnitude))","q1(X)","q1(XAR)","q1(XARp)","q1(XDN)","q1(XDNp)","q1(XI)","q1(XN)","q1(XNp)","q1(Y)","q1(Z)","q1(h)","q1(hydraulicCond)","q1(katt)","q1(kdet)","q1(n)","q1(perm)","q1(rDN)","q1(rH)","q1(rN)","q1(vtkOriginalPointIds)","q3(BAP)","q3(DOC)","q3(EPS)","q3(NH4)","q3(NO3)","q3(O2)","q3(POCr)","q3(U (0))","q3(U (1))","q3(U (2))","q3(U (Magnitude))","q3(X)","q3(XAR)","q3(XARp)","q3(XDN)","q3(XDNp)","q3(XI)","q3(XN)","q3(XNp)","q3(Y)","q3(Z)","q3(h)","q3(hydraulicCond)","q3(katt)","q3(kdet)","q3(n)","q3(perm)","q3(rDN)","q3(rH)","q3(rN)","q3(vtkOriginalPointIds)","std(BAP)","std(DOC)","std(EPS)","std(NH4)","std(NO3)","std(O2)","std(POCr)","std(U (0))","std(U (1))","std(U (2))","std(U (Magnitude))","std(X)","std(XAR)","std(XARp)","std(XDN)","std(XDNp)","std(XI)","std(XN)","std(XNp)","std(Y)","std(Z)","std(h)","std(hydraulicCond)","std(katt)","std(kdet)","std(n)","std(perm)","std(rDN)","std(rH)","std(rN)","std(vtkOriginalPointIds)","vtkValidPointMask"
1,0,7.8737e-11,3.1695e-05,6.7127e-08,0.0003968,0,3.5553e-05,1.4882e-11,1.8901e-26,9.4655e-27,-1.3216e-07,1.3216e-07,0.04,3.8432e-06,5.928e-09,0,0,9.5818e-09,0,0,0.04,0.31,0.00019839,8.1937e-07,6.2647e-09,9.117e-10,0.0015868,8.3524e-14,0,9.7226e-08,2.4236e-07,0,7.8737e-11,3.1695e-05,6.7127e-08,0.0003968,0,3.5553e-05,1.4882e-11,1.8901e-26,9.4655e-27,-1.3216e-07,1.3216e-07,0.04,3.8432e-06,5.928e-09,0,0,9.5818e-09,0,0,0.04,0.31,0.00019839,8.1937e-07,6.2647e-09,9.117e-10,0.0015868,8.3524e-14,0,9.7226e-08,2.4236e-07,0,7.8737e-11,3.1695e-05,6.7127e-08,0.0003968,0,3.5553e-05,1.4882e-11,1.8901e-26,9.4655e-27,-1.3216e-07,1.3216e-07,0.04,3.8432e-06,5.928e-09,0,0,9.5818e-09,0,0,0.04,0.31,0.00019839,8.1937e-07,6.2647e-09,9.117e-10,0.0015868,8.3524e-14,0,9.7226e-08,2.4236e-07,0,7.8737e-11,3.1695e-05,6.7127e-08,0.0003968,0,3.5553e-05,1.4882e-11,1.8901e-26,9.4655e-27,-1.3216e-07,1.3216e-07,0.04,3.8432e-06,5.928e-09,0,0,9.5818e-09,0,0,0.04,0.31,0.00019839,8.1937e-07,6.2647e-09,9.117e-10,0.0015868,8.3524e-14,0,9.7226e-08,2.4236e-07,0,7.8737e-11,3.1695e-05,6.7127e-08,0.0003968,0,3.5553e-05,1.4882e-11,1.8901e-26,9.4655e-27,-1.3216e-07,1.3216e-07,0.04,3.8432e-06,5.928e-09,0,0,9.5818e-09,0,0,0.04,0.31,0.00019839,8.1937e-07,6.2647e-09,9.117e-10,0.0015868,8.3524e-14,0,9.7226e-08,2.4236e-07,0,7.8737e-11,3.1695e-05,6.7127e-08,0.0003968,0,3.5553e-05,1.4882e-11,1.8901e-26,9.4655e-27,-1.3216e-07,1.3216e-07,0.04,3.8432e-06,5.928e-09,0,0,9.5818e-09,0,0,0.04,0.31,0.00019839,8.1937e-07,6.2647e-09,9.117e-10,0.0015868,8.3524e-14,0,9.7226e-08,2.4236e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,1,3.202e-10,6.1406e-05,1.9585e-07,0.00039676,0,3.5093e-05,4.0096e-11,1.8899e-26,9.4648e-27,-1.3215e-07,1.3215e-07,0.04,3.9429e-06,8.2501e-09,0,0,1.9272e-08,0,0,0.04,0.31,0.00019839,8.1932e-07,6.2647e-09,9.1171e-10,0.0015868,8.3519e-14,0,1.8345e-07,2.4219e-07,0,3.202e-10,6.1406e-05,1.9585e-07,0.00039676,0,3.5093e-05,4.0096e-11,1.8899e-26,9.4648e-27,-1.3215e-07,1.3215e-07,0.04,3.9429e-06,8.2501e-09,0,0,1.9272e-08,0,0,0.04,0.31,0.00019839,8.1932e-07,6.2647e-09,9.1171e-10,0.0015868,8.3519e-14,0,1.8345e-07,2.4219e-07,0,3.202e-10,6.1406e-05,1.9585e-07,0.00039676,0,3.5093e-05,4.0096e-11,1.8899e-26,9.4648e-27,-1.3215e-07,1.3215e-07,0.04,3.9429e-06,8.2501e-09,0,0,1.9272e-08,0,0,0.04,0.31,0.00019839,8.1932e-07,6.2647e-09,9.1171e-10,0.0015868,8.3519e-14,0,1.8345e-07,2.4219e-07,0,3.202e-10,6.1406e-05,1.9585e-07,0.00039676,0,3.5093e-05,4.0096e-11,1.8899e-26,9.4648e-27,-1.3215e-07,1.3215e-07,0.04,3.9429e-06,8.2501e-09,0,0,1.9272e-08,0,0,0.04,0.31,0.00019839,8.1932e-07,6.2647e-09,9.1171e-10,0.0015868,8.3519e-14,0,1.8345e-07,2.4219e-07,0,3.202e-10,6.1406e-05,1.9585e-07,0.00039676,0,3.5093e-05,4.0096e-11,1.8899e-26,9.4648e-27,-1.3215e-07,1.3215e-07,0.04,3.9429e-06,8.2501e-09,0,0,1.9272e-08,0,0,0.04,0.31,0.00019839,8.1932e-07,6.2647e-09,9.1171e-10,0.0015868,8.3519e-14,0,1.8345e-07,2.4219e-07,0,3.202e-10,6.1406e-05,1.9585e-07,0.00039676,0,3.5093e-05,4.0096e-11,1.8899e-26,9.4648e-27,-1.3215e-07,1.3215e-07,0.04,3.9429e-06,8.2501e-09,0,0,1.9272e-08,0,0,0.04,0.31,0.00019839,8.1932e-07,6.2647e-09,9.1171e-10,0.0015868,8.3519e-14,0,1.8345e-07,2.4219e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,2,6.5314e-10,6.4521e-05,3.5715e-07,0.00039676,0,3.5024e-05,6.1359e-11,1.8898e-26,9.4639e-27,-1.3214e-07,1.3214e-07,0.04,4.0949e-06,8.6173e-09,0,0,2.9281e-08,0,0,0.04,0.31,0.00019839,8.1926e-07,6.2648e-09,9.1172e-10,0.0015868,8.3512e-14,0,1.8838e-07,2.4217e-07,0,6.5314e-10,6.4521e-05,3.5715e-07,0.00039676,0,3.5024e-05,6.1359e-11,1.8898e-26,9.4639e-27,-1.3214e-07,1.3214e-07,0.04,4.0949e-06,8.6173e-09,0,0,2.9281e-08,0,0,0.04,0.31,0.00019839,8.1926e-07,6.2648e-09,9.1172e-10,0.0015868,8.3512e-14,0,1.8838e-07,2.4217e-07,0,6.5314e-10,6.4521e-05,3.5715e-07,0.00039676,0,3.5024e-05,6.1359e-11,1.8898e-26,9.4639e-27,-1.3214e-07,1.3214e-07,0.04,4.0949e-06,8.6173e-09,0,0,2.9281e-08,0,0,0.04,0.31,0.00019839,8.1926e-07,6.2648e-09,9.1172e-10,0.0015868,8.3512e-14,0,1.8838e-07,2.4217e-07,0,6.5314e-10,6.4521e-05,3.5715e-07,0.00039676,0,3.5024e-05,6.1359e-11,1.8898e-26,9.4639e-27,-1.3214e-07,1.3214e-07,0.04,4.0949e-06,8.6173e-09,0,0,2.9281e-08,0,0,0.04,0.31,0.00019839,8.1926e-07,6.2648e-09,9.1172e-10,0.0015868,8.3512e-14,0,1.8838e-07,2.4217e-07,0,6.5314e-10,6.4521e-05,3.5715e-07,0.00039676,0,3.5024e-05,6.1359e-11,1.8898e-26,9.4639e-27,-1.3214e-07,1.3214e-07,0.04,4.0949e-06,8.6173e-09,0,0,2.9281e-08,0,0,0.04,0.31,0.00019839,8.1926e-07,6.2648e-09,9.1172e-10,0.0015868,8.3512e-14,0,1.8838e-07,2.4217e-07,0,6.5314e-10,6.4521e-05,3.5715e-07,0.00039676,0,3.5024e-05,6.1359e-11,1.8898e-26,9.4639e-27,-1.3214e-07,1.3214e-07,0.04,4.0949e-06,8.6173e-09,0,0,2.9281e-08,0,0,0.04,0.31,0.00019839,8.1926e-07,6.2648e-09,9.1172e-10,0.0015868,8.3512e-14,0,1.8838e-07,2.4217e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,3,9.9757e-10,6.4455e-05,5.2377e-07,0.00039675,0,3.4997e-05,8.3261e-11,1.8896e-26,9.463e-27,-1.3213e-07,1.3213e-07,0.04,4.2532e-06,8.953e-09,0,0,3.9663e-08,0,0,0.04,0.31,0.00019839,8.1919e-07,6.2649e-09,9.1173e-10,0.0015867,8.3505e-14,0,1.883e-07,2.4216e-07,0,9.9757e-10,6.4455e-05,5.2377e-07,0.00039675,0,3.4997e-05,8.3261e-11,1.8896e-26,9.463e-27,-1.3213e-07,1.3213e-07,0.04,4.2532e-06,8.953e-09,0,0,3.9663e-08,0,0,0.04,0.31,0.00019839,8.1919e-07,6.2649e-09,9.1173e-10,0.0015867,8.3505e-14,0,1.883e-07,2.4216e-07,0,9.9757e-10,6.4455e-05,5.2377e-07,0.00039675,0,3.4997e-05,8.3261e-11,1.8896e-26,9.463e-27,-1.3213e-07,1.3213e-07,0.04,4.2532e-06,8.953e-09,0,0,3.9663e-08,0,0,0.04,0.31,0.00019839,8.1919e-07,6.2649e-09,9.1173e-10,0.0015867,8.3505e-14,0,1.883e-07,2.4216e-07,0,9.9757e-10,6.4455e-05,5.2377e-07,0.00039675,0,3.4997e-05,8.3261e-11,1.8896e-26,9.463e-27,-1.3213e-07,1.3213e-07,0.04,4.2532e-06,8.953e-09,0,0,3.9663e-08,0,0,0.04,0.31,0.00019839,8.1919e-07,6.2649e-09,9.1173e-10,0.0015867,8.3505e-14,0,1.883e-07,2.4216e-07,0,9.9757e-10,6.4455e-05,5.2377e-07,0.00039675,0,3.4997e-05,8.3261e-11,1.8896e-26,9.463e-27,-1.3213e-07,1.3213e-07,0.04,4.2532e-06,8.953e-09,0,0,3.9663e-08,0,0,0.04,0.31,0.00019839,8.1919e-07,6.2649e-09,9.1173e-10,0.0015867,8.3505e-14,0,1.883e-07,2.4216e-07,0,9.9757e-10,6.4455e-05,5.2377e-07,0.00039675,0,3.4997e-05,8.3261e-11,1.8896e-26,9.463e-27,-1.3213e-07,1.3213e-07,0.04,4.2532e-06,8.953e-09,0,0,3.9663e-08,0,0,0.04,0.31,0.00019839,8.1919e-07,6.2649e-09,9.1173e-10,0.0015867,8.3505e-14,0,1.883e-07,2.4216e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,4,1.3528e-09,6.4386e-05,6.9557e-07,0.00039675,0,3.497e-05,1.0599e-10,1.8894e-26,9.4621e-27,-1.3211e-07,1.3211e-07,0.04,4.4176e-06,9.3017e-09,0,0,5.0433e-08,0,0,0.04,0.31,0.00019839,8.1912e-07,6.265e-09,9.1174e-10,0.0015867,8.3498e-14,0,1.8821e-07,2.4215e-07,0,1.3528e-09,6.4386e-05,6.9557e-07,0.00039675,0,3.497e-05,1.0599e-10,1.8894e-26,9.4621e-27,-1.3211e-07,1.3211e-07,0.04,4.4176e-06,9.3017e-09,0,0,5.0433e-08,0,0,0.04,0.31,0.00019839,8.1912e-07,6.265e-09,9.1174e-10,0.0015867,8.3498e-14,0,1.8821e-07,2.4215e-07,0,1.3528e-09,6.4386e-05,6.9557e-07,0.00039675,0,3.497e-05,1.0599e-10,1.8894e-26,9.4621e-27,-1.3211e-07,1.3211e-07,0.04,4.4176e-06,9.3017e-09,0,0,5.0433e-08,0,0,0.04,0.31,0.00019839,8.1912e-07,6.265e-09,9.1174e-10,0.0015867,8.3498e-14,0,1.8821e-07,2.4215e-07,0,1.3528e-09,6.4386e-05,6.9557e-07,0.00039675,0,3.497e-05,1.0599e-10,1.8894e-26,9.4621e-27,-1.3211e-07,1.3211e-07,0.04,4.4176e-06,9.3017e-09,0,0,5.0433e-08,0,0,0.04,0.31,0.00019839,8.1912e-07,6.265e-09,9.1174e-10,0.0015867,8.3498e-14,0,1.8821e-07,2.4215e-07,0,1.3528e-09,6.4386e-05,6.9557e-07,0.00039675,0,3.497e-05,1.0599e-10,1.8894e-26,9.4621e-27,-1.3211e-07,1.3211e-07,0.04,4.4176e-06,9.3017e-09,0,0,5.0433e-08,0,0,0.04,0.31,0.00019839,8.1912e-07,6.265e-09,9.1174e-10,0.0015867,8.3498e-14,0,1.8821e-07,2.4215e-07,0,1.3528e-09,6.4386e-05,6.9557e-07,0.00039675,0,3.497e-05,1.0599e-10,1.8894e-26,9.4621e-27,-1.3211e-07,1.3211e-07,0.04,4.4176e-06,9.3017e-09,0,0,5.0433e-08,0,0,0.04,0.31,0.00019839,8.1912e-07,6.265e-09,9.1174e-10,0.0015867,8.3498e-14,0,1.8821e-07,2.4215e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,5,1.7194e-09,6.4315e-05,8.7274e-07,0.00039675,0,3.4941e-05,1.2957e-10,1.8892e-26,9.4611e-27,-1.321e-07,1.321e-07,0.04,4.5882e-06,9.6638e-09,0,0,6.1604e-08,0,0,0.04,0.31,0.00019839,8.1904e-07,6.2651e-09,9.1175e-10,0.0015866,8.3491e-14,0,1.8812e-07,2.4214e-07,0,1.7194e-09,6.4315e-05,8.7274e-07,0.00039675,0,3.4941e-05,1.2957e-10,1.8892e-26,9.4611e-27,-1.321e-07,1.321e-07,0.04,4.5882e-06,9.6638e-09,0,0,6.1604e-08,0,0,0.04,0.31,0.00019839,8.1904e-07,6.2651e-09,9.1175e-10,0.0015866,8.3491e-14,0,1.8812e-07,2.4214e-07,0,1.7194e-09,6.4315e-05,8.7274e-07,0.00039675,0,3.4941e-05,1.2957e-10,1.8892e-26,9.4611e-27,-1.321e-07,1.321e-07,0.04,4.5882e-06,9.6638e-09,0,0,6.1604e-08,0,0,0.04,0.31,0.00019839,8.1904e-07,6.2651e-09,9.1175e-10,0.0015866,8.3491e-14,0,1.8812e-07,2.4214e-07,0,1.7194e-09,6.4315e-05,8.7274e-07,0.00039675,0,3.4941e-05,1.2957e-10,1.8892e-26,9.4611e-27,-1.321e-07,1.321e-07,0.04,4.5882e-06,9.6638e-09,0,0,6.1604e-08,0,0,0.04,0.31,0.00019839,8.1904e-07,6.2651e-09,9.1175e-10,0.0015866,8.3491e-14,0,1.8812e-07,2.4214e-07,0,1.7194e-09,6.4315e-05,8.7274e-07,0.00039675,0,3.4941e-05,1.2957e-10,1.8892e-26,9.4611e-27,-1.321e-07,1.321e-07,0.04,4.5882e-06,9.6638e-09,0,0,6.1604e-08,0,0,0.04,0.31,0.00019839,8.1904e-07,6.2651e-09,9.1175e-10,0.0015866,8.3491e-14,0,1.8812e-07,2.4214e-07,0,1.7194e-09,6.4315e-05,8.7274e-07,0.00039675,0,3.4941e-05,1.2957e-10,1.8892e-26,9.4611e-27,-1.321e-07,1.321e-07,0.04,4.5882e-06,9.6638e-09,0,0,6.1604e-08,0,0,0.04,0.31,0.00019839,8.1904e-07,6.2651e-09,9.1175e-10,0.0015866,8.3491e-14,0,1.8812e-07,2.4214e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,6,2.0977e-09,6.4241e-05,1.0555e-06,0.00039675,0,3.4911e-05,1.5405e-10,1.8891e-26,9.4601e-27,-1.3209e-07,1.3209e-07,0.04,4.7652e-06,1.004e-08,0,0,7.3192e-08,0,0,0.04,0.31,0.00019839,8.1897e-07,6.2652e-09,9.1176e-10,0.0015866,8.3483e-14,0,1.8803e-07,2.4212e-07,0,2.0977e-09,6.4241e-05,1.0555e-06,0.00039675,0,3.4911e-05,1.5405e-10,1.8891e-26,9.4601e-27,-1.3209e-07,1.3209e-07,0.04,4.7652e-06,1.004e-08,0,0,7.3192e-08,0,0,0.04,0.31,0.00019839,8.1897e-07,6.2652e-09,9.1176e-10,0.0015866,8.3483e-14,0,1.8803e-07,2.4212e-07,0,2.0977e-09,6.4241e-05,1.0555e-06,0.00039675,0,3.4911e-05,1.5405e-10,1.8891e-26,9.4601e-27,-1.3209e-07,1.3209e-07,0.04,4.7652e-06,1.004e-08,0,0,7.3192e-08,0,0,0.04,0.31,0.00019839,8.1897e-07,6.2652e-09,9.1176e-10,0.0015866,8.3483e-14,0,1.8803e-07,2.4212e-07,0,2.0977e-09,6.4241e-05,1.0555e-06,0.00039675,0,3.4911e-05,1.5405e-10,1.8891e-26,9.4601e-27,-1.3209e-07,1.3209e-07,0.04,4.7652e-06,1.004e-08,0,0,7.3192e-08,0,0,0.04,0.31,0.00019839,8.1897e-07,6.2652e-09,9.1176e-10,0.0015866,8.3483e-14,0,1.8803e-07,2.4212e-07,0,2.0977e-09,6.4241e-05,1.0555e-06,0.00039675,0,3.4911e-05,1.5405e-10,1.8891e-26,9.4601e-27,-1.3209e-07,1.3209e-07,0.04,4.7652e-06,1.004e-08,0,0,7.3192e-08,0,0,0.04,0.31,0.00019839,8.1897e-07,6.2652e-09,9.1176e-10,0.0015866,8.3483e-14,0,1.8803e-07,2.4212e-07,0,2.0977e-09,6.4241e-05,1.0555e-06,0.00039675,0,3.4911e-05,1.5405e-10,1.8891e-26,9.4601e-27,-1.3209e-07,1.3209e-07,0.04,4.7652e-06,1.004e-08,0,0,7.3192e-08,0,0,0.04,0.31,0.00019839,8.1897e-07,6.2652e-09,9.1176e-10,0.0015866,8.3483e-14,0,1.8803e-07,2.4212e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,7,2.4882e-09,6.4164e-05,1.2441e-06,0.00039675,0,3.488e-05,1.7945e-10,1.8889e-26,9.4591e-27,-1.3208e-07,1.3208e-07,0.04,4.949e-06,1.043e-08,0,0,8.5213e-08,0,0,0.04,0.31,0.00019839,8.1889e-07,6.2653e-09,9.1177e-10,0.0015866,8.3475e-14,0,1.8793e-07,2.4211e-07,0,2.4882e-09,6.4164e-05,1.2441e-06,0.00039675,0,3.488e-05,1.7945e-10,1.8889e-26,9.4591e-27,-1.3208e-07,1.3208e-07,0.04,4.949e-06,1.043e-08,0,0,8.5213e-08,0,0,0.04,0.31,0.00019839,8.1889e-07,6.2653e-09,9.1177e-10,0.0015866,8.3475e-14,0,1.8793e-07,2.4211e-07,0,2.4882e-09,6.4164e-05,1.2441e-06,0.00039675,0,3.488e-05,1.7945e-10,1.8889e-26,9.4591e-27,-1.3208e-07,1.3208e-07,0.04,4.949e-06,1.043e-08,0,0,8.5213e-08,0,0,0.04,0.31,0.00019839,8.1889e-07,6.2653e-09,9.1177e-10,0.0015866,8.3475e-14,0,1.8793e-07,2.4211e-07,0,2.4882e-09,6.4164e-05,1.2441e-06,0.00039675,0,3.488e-05,1.7945e-10,1.8889e-26,9.4591e-27,-1.3208e-07,1.3208e-07,0.04,4.949e-06,1.043e-08,0,0,8.5213e-08,0,0,0.04,0.31,0.00019839,8.1889e-07,6.2653e-09,9.1177e-10,0.0015866,8.3475e-14,0,1.8793e-07,2.4211e-07,0,2.4882e-09,6.4164e-05,1.2441e-06,0.00039675,0,3.488e-05,1.7945e-10,1.8889e-26,9.4591e-27,-1.3208e-07,1.3208e-07,0.04,4.949e-06,1.043e-08,0,0,8.5213e-08,0,0,0.04,0.31,0.00019839,8.1889e-07,6.2653e-09,9.1177e-10,0.0015866,8.3475e-14,0,1.8793e-07,2.4211e-07,0,2.4882e-09,6.4164e-05,1.2441e-06,0.00039675,0,3.488e-05,1.7945e-10,1.8889e-26,9.4591e-27,-1.3208e-07,1.3208e-07,0.04,4.949e-06,1.043e-08,0,0,8.5213e-08,0,0,0.04,0.31,0.00019839,8.1889e-07,6.2653e-09,9.1177e-10,0.0015866,8.3475e-14,0,1.8793e-07,2.4211e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,8,2.8915e-09,6.4084e-05,1.4386e-06,0.00039674,0,3.4848e-05,2.0581e-10,1.8887e-26,9.458e-27,-1.3206e-07,1.3206e-07,0.04,5.1397e-06,1.0836e-08,0,0,9.7684e-08,0,0,0.04,0.31,0.00019839,8.1881e-07,6.2654e-09,9.1179e-10,0.0015865,8.3467e-14,0,1.8783e-07,2.421e-07,0,2.8915e-09,6.4084e-05,1.4386e-06,0.00039674,0,3.4848e-05,2.0581e-10,1.8887e-26,9.458e-27,-1.3206e-07,1.3206e-07,0.04,5.1397e-06,1.0836e-08,0,0,9.7684e-08,0,0,0.04,0.31,0.00019839,8.1881e-07,6.2654e-09,9.1179e-10,0.0015865,8.3467e-14,0,1.8783e-07,2.421e-07,0,2.8915e-09,6.4084e-05,1.4386e-06,0.00039674,0,3.4848e-05,2.0581e-10,1.8887e-26,9.458e-27,-1.3206e-07,1.3206e-07,0.04,5.1397e-06,1.0836e-08,0,0,9.7684e-08,0,0,0.04,0.31,0.00019839,8.1881e-07,6.2654e-09,9.1179e-10,0.0015865,8.3467e-14,0,1.8783e-07,2.421e-07,0,2.8915e-09,6.4084e-05,1.4386e-06,0.00039674,0,3.4848e-05,2.0581e-10,1.8887e-26,9.458e-27,-1.3206e-07,1.3206e-07,0.04,5.1397e-06,1.0836e-08,0,0,9.7684e-08,0,0,0.04,0.31,0.00019839,8.1881e-07,6.2654e-09,9.1179e-10,0.0015865,8.3467e-14,0,1.8783e-07,2.421e-07,0,2.8915e-09,6.4084e-05,1.4386e-06,0.00039674,0,3.4848e-05,2.0581e-10,1.8887e-26,9.458e-27,-1.3206e-07,1.3206e-07,0.04,5.1397e-06,1.0836e-08,0,0,9.7684e-08,0,0,0.04,0.31,0.00019839,8.1881e-07,6.2654e-09,9.1179e-10,0.0015865,8.3467e-14,0,1.8783e-07,2.421e-07,0,2.8915e-09,6.4084e-05,1.4386e-06,0.00039674,0,3.4848e-05,2.0581e-10,1.8887e-26,9.458e-27,-1.3206e-07,1.3206e-07,0.04,5.1397e-06,1.0836e-08,0,0,9.7684e-08,0,0,0.04,0.31,0.00019839,8.1881e-07,6.2654e-09,9.1179e-10,0.0015865,8.3467e-14,0,1.8783e-07,2.421e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,9,3.3079e-09,6.4001e-05,1.6395e-06,0.00039674,0,3.4815e-05,2.3317e-10,1.8885e-26,9.4569e-27,-1.3205e-07,1.3205e-07,0.04,5.3376e-06,1.1257e-08,0,0,1.1062e-07,0,0,0.04,0.31,0.00019839,8.1872e-07,6.2655e-09,9.118e-10,0.0015865,8.3458e-14,0,1.8773e-07,2.4209e-07,0,3.3079e-09,6.4001e-05,1.6395e-06,0.00039674,0,3.4815e-05,2.3317e-10,1.8885e-26,9.4569e-27,-1.3205e-07,1.3205e-07,0.04,5.3376e-06,1.1257e-08,0,0,1.1062e-07,0,0,0.04,0.31,0.00019839,8.1872e-07,6.2655e-09,9.118e-10,0.0015865,8.3458e-14,0,1.8773e-07,2.4209e-07,0,3.3079e-09,6.4001e-05,1.6395e-06,0.00039674,0,3.4815e-05,2.3317e-10,1.8885e-26,9.4569e-27,-1.3205e-07,1.3205e-07,0.04,5.3376e-06,1.1257e-08,0,0,1.1062e-07,0,0,0.04,0.31,0.00019839,8.1872e-07,6.2655e-09,9.118e-10,0.0015865,8.3458e-14,0,1.8773e-07,2.4209e-07,0,3.3079e-09,6.4001e-05,1.6395e-06,0.00039674,0,3.4815e-05,2.3317e-10,1.8885e-26,9.4569e-27,-1.3205e-07,1.3205e-07,0.04,5.3376e-06,1.1257e-08,0,0,1.1062e-07,0,0,0.04,0.31,0.00019839,8.1872e-07,6.2655e-09,9.118e-10,0.0015865,8.3458e-14,0,1.8773e-07,2.4209e-07,0,3.3079e-09,6.4001e-05,1.6395e-06,0.00039674,0,3.4815e-05,2.3317e-10,1.8885e-26,9.4569e-27,-1.3205e-07,1.3205e-07,0.04,5.3376e-06,1.1257e-08,0,0,1.1062e-07,0,0,0.04,0.31,0.00019839,8.1872e-07,6.2655e-09,9.118e-10,0.0015865,8.3458e-14,0,1.8773e-07,2.4209e-07,0,3.3079e-09,6.4001e-05,1.6395e-06,0.00039674,0,3.4815e-05,2.3317e-10,1.8885e-26,9.4569e-27,-1.3205e-07,1.3205e-07,0.04,5.3376e-06,1.1257e-08,0,0,1.1062e-07,0,0,0.04,0.31,0.00019839,8.1872e-07,6.2655e-09,9.118e-10,0.0015865,8.3458e-14,0,1.8773e-07,2.4209e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
